date,종로구인구,중구인구,용산구인구,성동구인구,광진구인구,동대문구인구,서대문구인구,마포구인구,양천구인구,영등포구인구,은평구인구
Jan-16,128540,103841,191827,248415,308607,299344,259015,323075,413751,316451,412772
Feb-16,128595,103743,191686,248286,308575,299231,260165,323077,413073,316450,412342
Mar-16,128796,103901,191462,248079,308437,299109,260936,322836,412295,316226,411823
Apr-16,128531,103896,191294,248059,308216,298722,261366,322190,411698,315998,411214
May-16,128222,103697,191116,248468,307701,298109,261204,321551,411222,315556,410738
Jun-16,127910,103521,191008,248698,307520,297360,261216,320978,411150,314802,410249
Jul-16,127667,103460,190841,248643,307168,296752,260732,320487,410842,313919,409850
Aug-16,127377,103583,190485,248667,306904,296128,260152,319728,410486,312874,409239
Sep-16,127201,103541,190140,248406,306633,295755,259811,318993,409955,311686,408773
Oct-16,127008,103585,189722,247695,306117,295397,259609,317994,409099,310685,408143
Nov-16,126650,103423,189383,247836,305632,294929,259213,317210,407823,309794,407449
Dec-16,126159,103143,189026,249464,305103,294202,258969,316218,406504,308733,406360
Jan-17,125763,102905,188797,250908,305088,293687,259048,315701,406036,308190,405986
Feb-17,125684,102658,188595,252221,304999,293428,259286,315368,405111,307204,405239
Mar-17,126656,102341,188337,252833,304725,293058,259173,314903,404316,306362,404455
Apr-17,126872,102102,187937,252936,304770,292782,259040,314739,403901,306222,404235
May-17,127110,102032,187764,253049,304521,292267,258727,314536,403067,306939,403690
Jun-17,127164,101941,187776,253192,304549,291810,258849,314196,402573,306985,402909
Jul-17,127471,101849,187676,253299,304692,291434,258696,313928,402238,306806,402297
Aug-17,127643,102523,187689,253718,304962,291106,258532,313518,401697,306392,401967
Sep-17,127718,102948,187827,253779,304821,290767,258140,313120,401019,306332,401985
Oct-17,127709,103021,188004,253682,304746,290448,257860,312476,400676,306482,401761
Nov-17,127487,103118,188020,253677,304890,289861,257273,312067,400172,306393,401486
Dec-17,127305,103194,188138,253544,304786,289307,256678,311598,399424,305918,401107
